no,code,name
282,270,기아자동차
283,24110,기업은행
284,13700,까뮤이앤씨
285,308100,까스텔바작
286,4540,깨끗한나라
287,187790,나노
288,286750,나노브릭
289,151910,나노스
290,121600,나노신소재
291,39860,나노엔텍
292,91970,나노캠텍
293,244880,나눔테크
294,288490,나라소프트
295,51490,나라엠앤디
296,190510,나무가
297,242040,나무기술
298,89600,나스미디어
299,293580,나우IB
300,138610,나이벡
301,130580,나이스디앤비
302,36800,나이스정보통신
303,267320,나인테크
304,1260,남광토건
305,8350,남선알미늄
306,4270,남성
307,3920,남양유업
308,25860,남해화학
309,111710,남화산업
310,91590,남화토건
311,168330,내츄럴엔도텍
312,56000,네스엠
313,253590,네오셈
314,212560,네오오토
315,95660,네오위즈
316,42420,네오위즈홀딩스
317,311390,네오크레마
318,85910,네오티스
319,92730,네오팜
320,290660,네오펙트
321,306620,네온테크
322,153460,네이블커뮤니케이션즈
323,7390,네이처셀
324,86220,네추럴FNP
325,33640,네패스
326,5720,넥센
327,2350,넥센타이어
328,89140,넥스턴
329,65170,넥스트BT
330,3580,넥스트사이언스
331,137940,넥스트아이
332,41140,넥슨지티
333,217270,넵튠
334,225570,넷게임즈
335,251270,넷마블
336,317860,노드메이슨
337,104620,노랑풍선
338,90350,노루페인트
339,320,노루홀딩스
340,194700,노바렉스
341,285490,노바텍
342,229500,노브메타파마
343,278650,노터스
344,6280,녹십자
345,144510,녹십자랩셀
346,31390,녹십자셀
347,142280,녹십자엠에스
348,234690,녹십자웰빙
349,5250,녹십자홀딩스
350,65560,녹원씨엔아이
351,4370,농심
352,72710,농심홀딩스
353,54050,농우바이오
354,40160,누리텔레콤
355,69140,누리플랜
356,126870,뉴로스
357,60260,뉴보텍
358,12340,뉴인텍
359,214870,뉴지랩
360,270870,뉴트리
361,144960,뉴파워프라즈마
362,900100,뉴프라이드
363,85670,뉴프렉스
364,119860,다나와
365,64260,다날
366,93640,다믈멀티미디어
367,39560,다산네트웍스
368,58730,다스코
369,23590,다우기술
370,32190,다우데이타
371,323350,다원넥스뷰
372,68240,다원시스
373,86080,다이노나
374,271850,다이오진
375,343090,단디바이오
376,19680,대교
377,6370,대구백화점
378,8060,대덕
379,353200,대덕전자
380,178600,대동고려삼
381,490,대동공업
382,20400,대동금속
383,8830,대동기어
384,48470,대동스틸
385,8110,대동전자
386,4780,대륙제관
387,1880,대림건설
388,5750,대림비앤코
389,210,대림산업
390,4440,대림씨엔에스
391,17650,대림제지
392,6570,대림통상
393,7720,대명소노시즌
394,317850,대모
395,290670,대보마그네틱
396,78140,대봉엘에스
397,1680,대상
398,84690,대상홀딩스
399,36480,대성미생물
400,128820,대성산업
401,117580,대성에너지
402,25440,대성엘텍
403,27830,대성창투
404,104040,대성파인텍
405,16710,대성홀딩스
406,307750,대신밸런스제6호스팩
407,332290,대신밸런스제7호스팩
408,336570,대신밸런스제8호스팩
409,20180,대신정보통신
410,3540,대신증권
411,45390,대아티아이
412,9190,대양금속
413,108380,대양전기공업
414,6580,대양제지
415,14160,대영포장
416,47040,대우건설
417,9320,대우부품
418,42660,대우조선해양
419,3090,대웅
420,69620,대웅제약
421,7680,대원
422,430,대원강업
423,48910,대원미디어
424,5710,대원산업
425,6340,대원전선
426,3220,대원제약
427,24890,대원화성
428,290380,대유
429,2880,대유에이텍
430,290120,대유에이피
431,300,대유플러스
432,120240,대정화금
433,3310,대주산업
434,114920,대주이엔티
435,78600,대주전자재료
436,12800,대창
437,15230,대창단조
438,96350,대창솔루션
439,140520,대창스틸
440,131220,대한과학
441,10170,대한광통신
442,60900,대한그린파워
443,54670,대한뉴팜
444,1070,대한방직
445,23910,대한약품
446,6650,대한유화
447,1440,대한전선
448,84010,대한제강
449,1790,대한제당
450,1130,대한제분
451,3490,대한항공
452,5880,대한해운
453,3830,대한화섬
454,16090,대현
455,69460,대호에이엘
456,21040,대호피앤씨
457,67080,대화제약
458,298540,더네이쳐홀딩스
459,192080,더블유게임즈
460,35290,더블유에프엠
461,12510,더존비즈온
462,302920,더콘텐츠온
463,213420,덕산네오룩스
464,317330,덕산테코피아
465,77360,덕산하이메탈
466,4830,덕성
467,90410,덕신하우징
468,24900,덕양산업
469,263600,덕우전자
470,194480,데브시스터즈
471,263800,데이타솔루션
472,199150,데이터스트림즈
473,139050,데일리블록체인
474,206560,덱스터
475,261200,덴티스
476,145720,덴티움
477,227420,도부마스크
478,67990,도이치모터스
479,2150,도화엔지니어링
480,6620,동구바이오제약
481,100130,동국S&C
482,5160,동국산업
483,75970,동국알앤에스
484,1230,동국제강
485,86450,동국제약
486,23450,동남합성
487,4140,동방
488,99410,동방선기
489,7590,동방아그로
490,5960,동부건설
491,26960,동서
492,2210,동성제약
493,102260,동성코퍼레이션
494,33500,동성화인텍
495,5190,동성화학
496,25950,동신건설
497,640,동아쏘시오홀딩스
498,170900,동아에스티
499,88130,동아엘텍
500,28100,동아지질
501,282690,동아타이어
502,41930,동아화성
503,1520,동양
504,84670,동양고속
505,2900,동양물산기업
506,82640,동양생명
507,60380,동양에스텍
508,79960,동양이엔피
509,8970,동양철관
510,228340,동양파일
511,92780,동양피스톤
512,88910,동우팜투테이블
513,94170,동운아나텍
514,49770,동원F&B
515,13120,동원개발
516,18500,동원금속
517,6040,동원산업
518,30720,동원수산
519,14820,동원시스템즈
520,163560,동일고무벨트
521,109860,동일금속
522,32960,동일기연
523,4890,동일산업
524,2690,동일제강
525,23790,동일철강
526,5290,동진쎄미켐
527,25900,동화기업
528,20,동화약품
529,150,두산
530,241560,두산밥캣
531,336370,두산솔루스
532,42670,두산인프라코어
533,34020,두산중공업
534,336260,두산퓨얼셀
535,16740,두올
536,73190,듀오백
537,176750,듀켐바이오
538,30350,드래곤플라이
539,203650,드림시큐리티
540,223250,드림씨아이에스
541,60570,드림어스컴퍼니
542,192650,드림텍
543,217620,디딤
544,187870,디바이스이엔지
545,66670,디스플레이텍
546,24090,디씨엠
547,3160,디아이
548,1530,디아이동일
549,92200,디아이씨
550,110990,디아이티
551,263690,디알젬
552,214680,디알텍
553,263720,디앤씨미디어
554,109740,디에스케이
555,33430,디에스티
556,131030,디에이치피코리아
557,196490,디에이테크놀로지
558,66900,디에이피
559,127120,디엔에이링크
560,92070,디엔에프
561,134580,디엠티
562,39840,디오
563,196450,디오스텍
564,13570,디와이
565,210540,디와이파워
566,104460,디와이피엔에프
567,79810,디이엔티
568,227100,디자인
569,113810,디젠스
570,43360,디지아이
571,197140,디지캡
572,106520,디지탈옵틱
573,68930,디지털대성
574,33130,디지틀조선
575,33310,디케이디앤아이
576,105740,디케이락
577,263020,디케이앤디
578,290550,디케이티
579,7340,디티알오토모티브
580,187220,디티앤씨
581,26890,디피씨
582,163430,디피코
583,131180,딜리
584,317120,라닉스
585,42510,라온시큐어
586,232680,라온테크
587,300120,라온피플
588,36170,라이브파이낸셜
589,50120,라이브플렉스
590,171120,라이온켐텍
591,69540,라이트론
592,285770,라이프사이언스테크놀로지
593,214260,라파스
594,115390,락앤락
595,200350,래몽래인
596,171010,램테크놀러지
597,84650,랩지노믹스
598,217500,러셀
599,92590,럭스피아
600,33600,럭슬
601,141080,레고켐바이오
602,60300,레드로버
